Geography,Geographic Area Name,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
860Z200US01106,ZCTA5 01106,173648
860Z200US01107,ZCTA5 01107,54017
860Z200US01108,ZCTA5 01108,67011
860Z200US01109,ZCTA5 01109,59427
860Z200US01118,ZCTA5 01118,95060
860Z200US01119,ZCTA5 01119,74950
860Z200US01128,ZCTA5 01128,97436
860Z200US01129,ZCTA5 01129,91707
860Z200US01144,ZCTA5 01144,-
860Z200US01151,ZCTA5 01151,61675
860Z200US01201,ZCTA5 01201,91737
860Z200US01220,ZCTA5 01220,71918
860Z200US01222,ZCTA5 01222,96073
860Z200US01223,ZCTA5 01223,110579
860Z200US01224,ZCTA5 01224,209916
860Z200US01225,ZCTA5 01225,90394
860Z200US01226,ZCTA5 01226,102546
860Z200US01229,ZCTA5 01229,80246
860Z200US01230,ZCTA5 01230,116928
860Z200US01235,ZCTA5 01235,87402
860Z200US01236,ZCTA5 01236,141351
860Z200US01237,ZCTA5 01237,99772
860Z200US01238,ZCTA5 01238,108283
860Z200US01240,ZCTA5 01240,122274
860Z200US01242,ZCTA5 01242,N
860Z200US01243,ZCTA5 01243,83836
860Z200US01244,ZCTA5 01244,69065
860Z200US01245,ZCTA5 01245,178857
860Z200US01247,ZCTA5 01247,77265
860Z200US01253,ZCTA5 01253,120690
860Z200US01254,ZCTA5 01254,149038
860Z200US01255,ZCTA5 01255,105081
860Z200US01256,ZCTA5 01256,70642
860Z200US01257,ZCTA5 01257,152520
860Z200US01258,ZCTA5 01258,114958
860Z200US01259,ZCTA5 01259,132206
860Z200US01260,ZCTA5 01260,N
860Z200US01262,ZCTA5 01262,183046
860Z200US01264,ZCTA5 01264,134117
860Z200US01266,ZCTA5 01266,168654
860Z200US01267,ZCTA5 01267,134765
860Z200US01270,ZCTA5 01270,141501
860Z200US01301,ZCTA5 01301,71078
860Z200US01330,ZCTA5 01330,95455
860Z200US01331,ZCTA5 01331,78725
860Z200US01337,ZCTA5 01337,99116
860Z200US01338,ZCTA5 01338,64392
860Z200US01339,ZCTA5 01339,100661
860Z200US01340,ZCTA5 01340,92798
860Z200US01341,ZCTA5 01341,123819
860Z200US01342,ZCTA5 01342,106093
860Z200US01343,ZCTA5 01343,70319
860Z200US01344,ZCTA5 01344,87436
860Z200US01346,ZCTA5 01346,108154
860Z200US01347,ZCTA5 01347,82735
860Z200US01349,ZCTA5 01349,74338
860Z200US01350,ZCTA5 01350,130413
860Z200US01351,ZCTA5 01351,97093
860Z200US01354,ZCTA5 01354,106020
860Z200US01355,ZCTA5 01355,95916
860Z200US01360,ZCTA5 01360,112691
860Z200US01364,ZCTA5 01364,71386
860Z200US01366,ZCTA5 01366,109723
860Z200US01367,ZCTA5 01367,85413
860Z200US01368,ZCTA5 01368,100899
860Z200US01370,ZCTA5 01370,85244
860Z200US01373,ZCTA5 01373,133107
860Z200US01375,ZCTA5 01375,74199
860Z200US01376,ZCTA5 01376,71632
860Z200US01378,ZCTA5 01378,105483
860Z200US01379,ZCTA5 01379,79323
860Z200US01380,ZCTA5 01380,N
860Z200US01420,ZCTA5 01420,81965
860Z200US01430,ZCTA5 01430,129156
860Z200US01431,ZCTA5 01431,130779
860Z200US01432,ZCTA5 01432,122427
860Z200US01434,ZCTA5 01434,143951
860Z200US01436,ZCTA5 01436,95065
860Z200US01438,ZCTA5 01438,97183
860Z200US01440,ZCTA5 01440,76866
860Z200US01450,ZCTA5 01450,215139
860Z200US01451,ZCTA5 01451,290005
860Z200US01452,ZCTA5 01452,122352
860Z200US01453,ZCTA5 01453,102959
860Z200US01460,ZCTA5 01460,178589
860Z200US01462,ZCTA5 01462,124485
860Z200US01463,ZCTA5 01463,140455
860Z200US01464,ZCTA5 01464,131418
860Z200US01468,ZCTA5 01468,121000
860Z200US01469,ZCTA5 01469,117328
860Z200US01473,ZCTA5 01473,123296
860Z200US01474,ZCTA5 01474,122389
860Z200US01475,ZCTA5 01475,107349
860Z200US01501,ZCTA5 01501,117522
860Z200US01503,ZCTA5 01503,156823
860Z200US01504,ZCTA5 01504,111451
860Z200US01505,ZCTA5 01505,168471
860Z200US01506,ZCTA5 01506,96112
860Z200US01507,ZCTA5 01507,134104
860Z200US01510,ZCTA5 01510,101233
860Z200US01515,ZCTA5 01515,101696
860Z200US01516,ZCTA5 01516,155714
860Z200US01518,ZCTA5 01518,119590
860Z200US01519,ZCTA5 01519,171366
860Z200US01520,ZCTA5 01520,155634
860Z200US01521,ZCTA5 01521,105139
860Z200US01522,ZCTA5 01522,120780
860Z200US01523,ZCTA5 01523,132413
860Z200US01524,ZCTA5 01524,107521
860Z200US01525,ZCTA5 01525,N
860Z200US01527,ZCTA5 01527,127541
860Z200US01529,ZCTA5 01529,116343
860Z200US01531,ZCTA5 01531,112560
860Z200US01532,ZCTA5 01532,210146
860Z200US01534,ZCTA5 01534,135635
860Z200US01535,ZCTA5 01535,100221
860Z200US01536,ZCTA5 01536,128704
860Z200US01537,ZCTA5 01537,92502
860Z200US01540,ZCTA5 01540,116495
860Z200US01541,ZCTA5 01541,190395
860Z200US01542,ZCTA5 01542,114764
860Z200US01543,ZCTA5 01543,152281
860Z200US01545,ZCTA5 01545,161856
860Z200US01550,ZCTA5 01550,72883
860Z200US01560,ZCTA5 01560,129096
860Z200US01561,ZCTA5 01561,-
860Z200US01562,ZCTA5 01562,99678
860Z200US01564,ZCTA5 01564,159140
860Z200US01566,ZCTA5 01566,139407
860Z200US01568,ZCTA5 01568,180126
860Z200US01569,ZCTA5 01569,134029
860Z200US01570,ZCTA5 01570,90951
860Z200US01571,ZCTA5 01571,97001
860Z200US01581,ZCTA5 01581,178695
860Z200US01583,ZCTA5 01583,129046
860Z200US01585,ZCTA5 01585,91473
860Z200US01588,ZCTA5 01588,111687
860Z200US01590,ZCTA5 01590,173532
860Z200US01602,ZCTA5 01602,107588
860Z200US01603,ZCTA5 01603,77348
860Z200US01604,ZCTA5 01604,86490
860Z200US01605,ZCTA5 01605,71164
860Z200US01606,ZCTA5 01606,102335
860Z200US01607,ZCTA5 01607,80796
860Z200US01608,ZCTA5 01608,58990
860Z200US01609,ZCTA5 01609,94931
860Z200US01610,ZCTA5 01610,57248
860Z200US01611,ZCTA5 01611,117159
860Z200US01612,ZCTA5 01612,161098
860Z200US01701,ZCTA5 01701,159727
860Z200US01702,ZCTA5 01702,111464
860Z200US01718,ZCTA5 01718,173580
860Z200US01719,ZCTA5 01719,185074
860Z200US01720,ZCTA5 01720,195424
860Z200US01721,ZCTA5 01721,164626
860Z200US01730,ZCTA5 01730,197993
860Z200US01731,ZCTA5 01731,105958
860Z200US01740,ZCTA5 01740,224989
860Z200US01741,ZCTA5 01741,302154
860Z200US01742,ZCTA5 01742,261725
860Z200US01745,ZCTA5 01745,250377
860Z200US01746,ZCTA5 01746,188651
860Z200US01747,ZCTA5 01747,147325
860Z200US01748,ZCTA5 01748,276012
860Z200US01749,ZCTA5 01749,129113
860Z200US01752,ZCTA5 01752,113956
860Z200US01754,ZCTA5 01754,142373
860Z200US01756,ZCTA5 01756,163061
860Z200US01757,ZCTA5 01757,115301
860Z200US01760,ZCTA5 01760,174058
860Z200US01770,ZCTA5 01770,315170
860Z200US01772,ZCTA5 01772,255330
860Z200US01773,ZCTA5 01773,301905
860Z200US01775,ZCTA5 01775,197366
860Z200US01776,ZCTA5 01776,288260
860Z200US01778,ZCTA5 01778,265654
860Z200US01801,ZCTA5 01801,137519
860Z200US01803,ZCTA5 01803,162272
860Z200US01810,ZCTA5 01810,215400
860Z200US01821,ZCTA5 01821,150551
860Z200US01824,ZCTA5 01824,157464
860Z200US01826,ZCTA5 01826,117197
860Z200US01827,ZCTA5 01827,198534
860Z200US01830,ZCTA5 01830,97335
860Z200US01832,ZCTA5 01832,95684
860Z200US01833,ZCTA5 01833,163682
860Z200US01834,ZCTA5 01834,147211
860Z200US01835,ZCTA5 01835,121799
860Z200US01840,ZCTA5 01840,46457
860Z200US01841,ZCTA5 01841,69531
860Z200US01843,ZCTA5 01843,89146
860Z200US01844,ZCTA5 01844,117536
860Z200US01845,ZCTA5 01845,177360
860Z200US01850,ZCTA5 01850,74919
860Z200US01851,ZCTA5 01851,101362
860Z200US01852,ZCTA5 01852,90648
860Z200US01854,ZCTA5 01854,86282
860Z200US01860,ZCTA5 01860,113952
860Z200US01862,ZCTA5 01862,129031
860Z200US01863,ZCTA5 01863,138414
860Z200US01864,ZCTA5 01864,194412
860Z200US01867,ZCTA5 01867,176156
860Z200US01876,ZCTA5 01876,139792
860Z200US01879,ZCTA5 01879,161883
860Z200US01880,ZCTA5 01880,159958
860Z200US01886,ZCTA5 01886,192260
860Z200US01887,ZCTA5 01887,169417
860Z200US01890,ZCTA5 01890,283632
860Z200US01901,ZCTA5 01901,38325
860Z200US01902,ZCTA5 01902,77574
860Z200US01904,ZCTA5 01904,116041
860Z200US01905,ZCTA5 01905,90498
860Z200US01906,ZCTA5 01906,118431
860Z200US01907,ZCTA5 01907,172700
860Z200US01908,ZCTA5 01908,159011
860Z200US01913,ZCTA5 01913,120601
860Z200US01915,ZCTA5 01915,135531
860Z200US01921,ZCTA5 01921,271670
860Z200US01922,ZCTA5 01922,209797
860Z200US01923,ZCTA5 01923,137719
860Z200US01929,ZCTA5 01929,168762
860Z200US01930,ZCTA5 01930,113207
860Z200US01937,ZCTA5 01937,-
860Z200US01938,ZCTA5 01938,180752
860Z200US01940,ZCTA5 01940,201485
860Z200US01944,ZCTA5 01944,247435
860Z200US01945,ZCTA5 01945,226193
860Z200US01949,ZCTA5 01949,197524
860Z200US01950,ZCTA5 01950,176211
860Z200US01951,ZCTA5 01951,202288
860Z200US01952,ZCTA5 01952,124337
860Z200US01960,ZCTA5 01960,115087
860Z200US01965,ZCTA5 01965,232694
860Z200US01966,ZCTA5 01966,126933
860Z200US01969,ZCTA5 01969,187695
860Z200US01970,ZCTA5 01970,102988
860Z200US01982,ZCTA5 01982,171112
860Z200US01983,ZCTA5 01983,175893
860Z200US01984,ZCTA5 01984,209922
860Z200US01985,ZCTA5 01985,209597
860Z200US02019,ZCTA5 02019,129976
860Z200US02021,ZCTA5 02021,171561
860Z200US02025,ZCTA5 02025,283335
860Z200US02026,ZCTA5 02026,156283
860Z200US02030,ZCTA5 02030,436767
860Z200US02032,ZCTA5 02032,185034
860Z200US02035,ZCTA5 02035,157560
860Z200US02038,ZCTA5 02038,164623
860Z200US02043,ZCTA5 02043,252879
860Z200US02045,ZCTA5 02045,156247
860Z200US02047,ZCTA5 02047,185685
860Z200US02048,ZCTA5 02048,153474
860Z200US02050,ZCTA5 02050,150326
860Z200US02052,ZCTA5 02052,278476
860Z200US02053,ZCTA5 02053,197508
860Z200US02054,ZCTA5 02054,154881
860Z200US02056,ZCTA5 02056,206477
860Z200US02061,ZCTA5 02061,212934
860Z200US02062,ZCTA5 02062,141150
860Z200US02066,ZCTA5 02066,200848
860Z200US02067,ZCTA5 02067,231523
860Z200US02071,ZCTA5 02071,207272
860Z200US02072,ZCTA5 02072,125077
860Z200US02081,ZCTA5 02081,182120
860Z200US02090,ZCTA5 02090,237819
860Z200US02093,ZCTA5 02093,181665
860Z200US02108,ZCTA5 02108,310976
860Z200US02109,ZCTA5 02109,204580
860Z200US02110,ZCTA5 02110,263917
860Z200US02111,ZCTA5 02111,162253
860Z200US02113,ZCTA5 02113,134271
860Z200US02114,ZCTA5 02114,185948
860Z200US02115,ZCTA5 02115,101163
860Z200US02116,ZCTA5 02116,240657
860Z200US02118,ZCTA5 02118,152959
860Z200US02119,ZCTA5 02119,65405
860Z200US02120,ZCTA5 02120,77830
860Z200US02121,ZCTA5 02121,75657
860Z200US02122,ZCTA5 02122,108728
860Z200US02124,ZCTA5 02124,104099
860Z200US02125,ZCTA5 02125,97878
860Z200US02126,ZCTA5 02126,92242
860Z200US02127,ZCTA5 02127,180807
860Z200US02128,ZCTA5 02128,111729
860Z200US02129,ZCTA5 02129,189831
860Z200US02130,ZCTA5 02130,151486
860Z200US02131,ZCTA5 02131,129428
