Geography,Geographic Area Name,Estimate!!Total!!HOUSEHOLDS!!Total households
860Z200US01721,ZCTA5 01721,7653
860Z200US01730,ZCTA5 01730,5670
860Z200US01731,ZCTA5 01731,460
860Z200US01740,ZCTA5 01740,1882
860Z200US01741,ZCTA5 01741,1787
860Z200US01742,ZCTA5 01742,6476
860Z200US01745,ZCTA5 01745,213
860Z200US01746,ZCTA5 01746,5562
860Z200US01747,ZCTA5 01747,2171
860Z200US01748,ZCTA5 01748,6674
860Z200US01749,ZCTA5 01749,8055
860Z200US01752,ZCTA5 01752,16524
860Z200US01754,ZCTA5 01754,4416
860Z200US01756,ZCTA5 01756,2054
860Z200US01757,ZCTA5 01757,11528
860Z200US01760,ZCTA5 01760,15466
860Z200US01770,ZCTA5 01770,1511
860Z200US01772,ZCTA5 01772,3386
860Z200US01773,ZCTA5 01773,2125
860Z200US01775,ZCTA5 01775,2613
860Z200US01776,ZCTA5 01776,6323
860Z200US01778,ZCTA5 01778,5021
860Z200US01801,ZCTA5 01801,16121
860Z200US01803,ZCTA5 01803,9990
860Z200US01810,ZCTA5 01810,13361
860Z200US01821,ZCTA5 01821,11489
860Z200US01824,ZCTA5 01824,9910
860Z200US01826,ZCTA5 01826,12209
860Z200US01827,ZCTA5 01827,1135
860Z200US01830,ZCTA5 01830,10472
860Z200US01832,ZCTA5 01832,10060
860Z200US01833,ZCTA5 01833,3142
860Z200US01834,ZCTA5 01834,2613
860Z200US01835,ZCTA5 01835,5444
860Z200US01840,ZCTA5 01840,3107
860Z200US01841,ZCTA5 01841,16881
860Z200US01843,ZCTA5 01843,10342
860Z200US01844,ZCTA5 01844,19032
860Z200US01845,ZCTA5 01845,11311
860Z200US01850,ZCTA5 01850,5872
860Z200US01851,ZCTA5 01851,11353
860Z200US01852,ZCTA5 01852,14694
860Z200US01854,ZCTA5 01854,10424
860Z200US01860,ZCTA5 01860,2644
860Z200US01862,ZCTA5 01862,4117
860Z200US01863,ZCTA5 01863,3611
860Z200US01864,ZCTA5 01864,5851
860Z200US01867,ZCTA5 01867,9492
860Z200US01876,ZCTA5 01876,11944
860Z200US01879,ZCTA5 01879,4045
860Z200US01880,ZCTA5 01880,10874
860Z200US01886,ZCTA5 01886,8606
860Z200US01887,ZCTA5 01887,7925
860Z200US01890,ZCTA5 01890,8066
860Z200US01901,ZCTA5 01901,1076
860Z200US01902,ZCTA5 01902,18797
860Z200US01904,ZCTA5 01904,7077
860Z200US01905,ZCTA5 01905,8965
860Z200US01906,ZCTA5 01906,10768
860Z200US01907,ZCTA5 01907,6315
860Z200US01908,ZCTA5 01908,1626
860Z200US01913,ZCTA5 01913,7588
860Z200US01915,ZCTA5 01915,16570
860Z200US01921,ZCTA5 01921,2879
860Z200US01922,ZCTA5 01922,1209
860Z200US01923,ZCTA5 01923,11147
860Z200US01929,ZCTA5 01929,1370
860Z200US01930,ZCTA5 01930,13259
860Z200US01937,ZCTA5 01937,0
860Z200US01938,ZCTA5 01938,5610
860Z200US01940,ZCTA5 01940,4752
860Z200US01944,ZCTA5 01944,2101
860Z200US01945,ZCTA5 01945,8195
860Z200US01949,ZCTA5 01949,3192
860Z200US01950,ZCTA5 01950,7591
860Z200US01951,ZCTA5 01951,1292
860Z200US01952,ZCTA5 01952,4050
860Z200US01960,ZCTA5 01960,22568
860Z200US01965,ZCTA5 01965,339
860Z200US01966,ZCTA5 01966,3282
860Z200US01969,ZCTA5 01969,2376
860Z200US01970,ZCTA5 01970,19827
860Z200US01982,ZCTA5 01982,2652
860Z200US01983,ZCTA5 01983,2217
860Z200US01984,ZCTA5 01984,1325
860Z200US01985,ZCTA5 01985,1624
860Z200US02019,ZCTA5 02019,6270
860Z200US02021,ZCTA5 02021,9649
860Z200US02025,ZCTA5 02025,3107
860Z200US02026,ZCTA5 02026,10427
860Z200US02030,ZCTA5 02030,1887
860Z200US02032,ZCTA5 02032,1536
860Z200US02035,ZCTA5 02035,7212
860Z200US02038,ZCTA5 02038,12131
860Z200US02043,ZCTA5 02043,9230
860Z200US02045,ZCTA5 02045,4504
860Z200US02047,ZCTA5 02047,101
860Z200US02048,ZCTA5 02048,8880
860Z200US02050,ZCTA5 02050,10304
860Z200US02052,ZCTA5 02052,4463
860Z200US02053,ZCTA5 02053,4539
860Z200US02054,ZCTA5 02054,3172
860Z200US02056,ZCTA5 02056,3291
860Z200US02061,ZCTA5 02061,3607
860Z200US02062,ZCTA5 02062,13114
860Z200US02066,ZCTA5 02066,7536
860Z200US02067,ZCTA5 02067,6386
860Z200US02071,ZCTA5 02071,476
860Z200US02072,ZCTA5 02072,10858
860Z200US02081,ZCTA5 02081,7345
860Z200US02090,ZCTA5 02090,5377
860Z200US02093,ZCTA5 02093,4436
860Z200US02108,ZCTA5 02108,2002
860Z200US02109,ZCTA5 02109,1993
860Z200US02110,ZCTA5 02110,1312
860Z200US02111,ZCTA5 02111,3746
860Z200US02113,ZCTA5 02113,4042
860Z200US02114,ZCTA5 02114,7719
860Z200US02115,ZCTA5 02115,9845
860Z200US02116,ZCTA5 02116,11915
860Z200US02118,ZCTA5 02118,14133
860Z200US02119,ZCTA5 02119,11823
860Z200US02120,ZCTA5 02120,4584
860Z200US02121,ZCTA5 02121,10513
860Z200US02122,ZCTA5 02122,9449
860Z200US02124,ZCTA5 02124,19166
860Z200US02125,ZCTA5 02125,13284
860Z200US02126,ZCTA5 02126,8539
860Z200US02127,ZCTA5 02127,17406
860Z200US02128,ZCTA5 02128,17308
860Z200US02129,ZCTA5 02129,9187
860Z200US02130,ZCTA5 02130,17922
860Z200US02131,ZCTA5 02131,12371
860Z200US02132,ZCTA5 02132,10967
860Z200US02133,ZCTA5 02133,0
860Z200US02134,ZCTA5 02134,8058
