RegionID,SizeRank,RegionName,RegionType,State,City,Metro,month,ZHVI
66806,5770,21158,zip,MD,Westminster,"Baltimore-Columbia-Towson, MD",2022-05-31,405986.4313831625
66833,5823,21223,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,67763.98602507274
68010,5853,24141,zip,VA,Radford,"Blacksburg-Christiansburg, VA",2022-05-31,222810.2543396937
66812,5878,21202,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,194803.22987213297
66276,5921,20190,zip,VA,Reston,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,479640.75329204375
68187,5963,24523,zip,VA,Bedford,"Lynchburg, VA",2022-05-31,221384.3011059852
67752,5996,23508,zip,VA,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,337857.37975466414
66766,6015,21078,zip,MD,Havre de Grace,"Baltimore-Columbia-Towson, MD",2022-05-31,356104.7496420778
67478,6078,23005,zip,VA,Ashland,"Richmond, VA",2022-05-31,352429.9097992577
67543,6094,23114,zip,VA,Midlothian,"Richmond, VA",2022-05-31,393513.71267118864
67802,6103,23704,zip,VA,Portsmouth,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,191937.58820030885
66229,6162,20132,zip,VA,Purcellville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,766562.0268816507
67746,6163,23502,zip,VA,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,263074.1045595522
68175,6244,24503,zip,VA,Lynchburg,"Lynchburg, VA",2022-05-31,308309.23231026955
66273,6285,20187,zip,VA,Warrenton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,640758.8350321155
67190,6294,22205,zip,VA,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,1046302.3252630174
66638,6327,20794,zip,MD,Jessup,"Baltimore-Columbia-Towson, MD",2022-05-31,436636.2382574741
67639,6331,23294,zip,VA,Henrico,"Richmond, VA",2022-05-31,288524.2736093052
