Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/16 06:00:00,0.9578997436550001,1.00662618549,0.0,0.938966165094,0.0,0.016293360530000002,0.016293360530000002,0.016293360530000002,0.040098775474300005,0.00720415192867,0.0513555313521,0.30418827371199997,0.528229650658
 03/16 07:00:00,1.09973506153,0.920771081318,0.0,0.8183999723909999,0.0,0.014201242072,0.014201242072,0.014201242072,0.07108419704800001,0.012770997348499999,0.06031668821169999,0.323222831237,0.5926091056139999
 03/16 08:00:00,0.9815587417239999,0.699785316187,0.0,0.5941771273950001,0.0,0.0103104270582,0.0103104270582,0.0103104270582,0.0565028185994,0.0101513047412,0.0680613007556,0.2732662339,0.5527366566699999
 03/16 09:00:00,0.835060696065,0.475783336326,0.0,0.36894678339299997,0.0,0.00640212947142,0.00640212947142,0.00640212947142,0.0291627416378,0.00523938247316,0.071130532077,0.232571662639,0.48002424776600006
 03/16 10:00:00,0.754512845167,0.341445552351,0.0,0.24492680450100002,0.0,0.00425007937194,0.00425007937194,0.00425007937194,0.0236947292974,0.00425699856787,0.0670225310811,0.238041363077,0.406717143771
 03/16 11:00:00,0.6894294033759999,0.17148520213,0.0,0.0616038918179,0.0,0.00106897826222,0.00106897826222,0.00106897826222,0.0236947292974,0.00425699856787,0.0662473497925,0.238114292416,0.345517055039
 03/16 12:00:00,0.638481336408,0.12296328012,0.0,0.0,0.0,0.0,0.0,0.0,0.0236947292974,0.00425699856787,0.0680812751934,0.234103178762,0.297815154588
 03/16 13:00:00,0.616174205279,0.103473680384,0.0,0.0,0.0,0.0,0.0,0.0,0.0236947292974,0.00425699856787,0.06644160630969999,0.24219833540999997,0.269052535694
 03/16 14:00:00,0.601329896155,0.100405283192,0.0,0.0,0.0,0.0,0.0,0.0,0.0236947292974,0.00425699856787,0.0635196077253,0.255836121837,0.243492438727
 03/16 15:00:00,0.6285443590049999,0.125433497596,0.0,0.0,0.0,0.0,0.0,0.0,0.027340070857700002,0.0049119211714,0.0658950331489,0.27005734297600004,0.249809990851
